reliability,paper,subj_id,experiment,stimuli,training,hab,first.test,goal,mitten,causal,ageday,sex,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,n_hab,total_hab,firstthree,lastthree,habbed,T1,T2,T3,T4,T5,T6,ineff.1,ineff.2,ineff.3,eff.1,eff.2,eff.3,prop.ineff1,prop.ineff2,prop.ineff3,prop.ineff.all,avg.ineff,avg.eff,pref
1,LBS,S4_8,Exp.4,"H4, T3",no.training,constrained,efficient,pick.up,yes.mitten,yes.causal,102,f,10.82,8.85,26.37,10.83,12.33,21.39,24.25,45,26.05,23.52,8.72,8.22,12,226.35,46.04,57.97,0,10.8,8.9,26.4,10.8,12.3,21.4,8.85,10.83,21.39,10.82,26.37,12.33,0.449924,0.291129,0.634342,0.458465,13.69,16.51,eff
1,LBS,S4_9,Exp.4,"H4, T3",no.training,constrained,efficient,pick.up,yes.mitten,yes.causal,105,f,40.38,5.35,4.9,4.69,4.29,7.92,,,,,,,6,67.53,50.63,12.21,1,40.4,5.4,4.9,4.7,4.3,7.9,5.35,4.69,7.92,40.38,4.9,4.29,0.116991,0.489051,0.648649,0.41823,5.99,16.52,eff
0,LBS,S4_11,Exp.4,"H4, T3",no.training,constrained,inefficient,pick.up,yes.mitten,yes.causal,92,m,40.2,7.96,6.57,20.28,14.62,11.04,14.06,10.62,5.99,,,,9,131.34,54.73,39.72,1,40.2,8,6.6,20.3,14.6,11,40.2,6.57,14.62,7.96,20.28,11.04,0.834718,0.244693,0.569758,0.549723,20.46,13.09,ineff
0,LBS,S4_12,Exp.4,"H4, T3",no.training,constrained,inefficient,pick.up,yes.mitten,yes.causal,110,m,20.98,8.84,6.7,20.47,28.54,3.85,4.7,8.82,,,,,8,102.9,36.52,37.09,1,21,8.8,6.7,20.5,28.5,3.9,20.98,6.7,28.54,8.84,20.47,3.85,0.703555,0.246596,0.881136,0.610429,18.74,11.05,ineff
0,LBS,S4_13,Exp.4,"H4, T3",no.training,constrained,inefficient,pick.up,yes.mitten,yes.causal,118,m,15.93,23.25,15.84,7.34,6.21,4.89,4.87,4.26,,,,,8,82.59,55.02,15.97,1,15.9,23.3,15.8,7.3,6.2,4.9,15.93,15.84,6.21,23.25,7.34,4.89,0.406585,0.683348,0.559459,0.549797,12.66,11.83,ineff
0,LBS,S4_14,Exp.4,"H4, T3",no.training,constrained,inefficient,pick.up,yes.mitten,yes.causal,114,f,45,45,45,45,30.05,14.22,12.64,,,,,,7,236.91,135,56.91,1,45,45,45,45,30.1,14.2,45,45,30.05,45,45,14.22,0.5,0.5,0.678789,0.559596,40.02,34.74,ineff
0,LBS,S4_15,Exp.4,"H4, T3",no.training,constrained,inefficient,pick.up,yes.mitten,yes.causal,105,f,25.74,16.71,19.78,13.77,5.78,15.52,15.51,15.9,8.96,6,9.5,,11,153.17,62.23,36.81,1,25.7,16.7,19.8,13.8,5.8,15.5,25.74,19.78,5.78,16.71,13.77,15.52,0.60636,0.589568,0.271362,0.489097,17.1,15.33,ineff
0,LBS,S4_16,Exp.4,"H4, T3",no.training,constrained,inefficient,pick.up,yes.mitten,yes.causal,111,f,45,32.25,13.6,9.43,15.43,12.59,,,,,,,6,128.3,90.85,28.02,1,45,32.3,13.6,9.4,15.4,12.6,45,13.6,15.43,32.25,9.43,12.59,0.582524,0.590534,0.550678,0.574579,24.68,18.09,ineff
1,LBS,S4_17,Exp.4,"H4, T3",no.training,constrained,inefficient,pick.up,yes.mitten,yes.causal,97,m,8.49,13.94,4.54,3.9,4.67,16.99,5.75,4.08,5.13,3.91,,,10,71.4,26.97,27.41,1,8.5,13.9,4.5,3.9,4.7,17,8.49,4.54,4.67,13.94,3.9,16.99,0.378511,0.537915,0.215605,0.377343,5.9,11.61,eff
1,LBS,S4_18,Exp.4,"H4, T3",no.training,constrained,inefficient,pick.up,yes.mitten,yes.causal,110,f,8.74,7.17,36.95,6.18,7.32,9.85,,,,,,,6,76.21,52.86,17.17,1,8.7,7.2,37,6.2,7.3,9.9,8.74,36.95,7.32,7.17,6.18,9.85,0.54934,0.856712,0.426325,0.610792,17.67,7.73,ineff
1,LBS,S4_19,Exp.4,"H4, T3",no.training,constrained,inefficient,pick.up,yes.mitten,yes.causal,117,m,25.32,45,30.55,6.08,12.62,11.09,,,,,,,6,130.66,100.87,23.71,1,25.3,45,30.6,6.1,12.6,11.1,25.32,30.55,12.62,45,6.08,11.09,0.360068,0.834016,0.532265,0.57545,22.83,20.72,ineff
1,LBS,S4_20,Exp.4,"H4, T3",no.training,constrained,inefficient,pick.up,yes.mitten,yes.causal,116,f,17.96,9.65,8.59,9.06,9.16,7.02,8.09,7.5,6.66,5.81,14.19,7.83,12,111.52,36.2,24.27,0,18,9.7,8.6,9.1,9.2,7,17.96,8.59,9.16,9.65,9.06,7.02,0.650489,0.486686,0.566131,0.567769,11.9,8.58,ineff
0,LBS,S5_1,Exp.5,"H5, T4",no.training,constrained,efficient,pick.up,no.mitten,yes.causal,100,f,45,7.26,11.26,10.67,45,14.27,7.33,5.76,,,,,8,146.55,63.52,27.36,1,21.7,13.1,9.9,4.6,4,5.2,13.06,4.56,5.17,21.7,9.86,4.04,0.3757,0.3162,0.5613,0.417764,7.596667,11.866667,eff
1,LBS,S5_10,Exp.5,"H5, T4",no.training,constrained,efficient,pick.up,no.mitten,yes.causal,107,m,15.46,45,27.68,45,27.49,11.62,28.5,21.62,17.41,6.11,,,10,245.89,88.14,45.14,1,4.2,45,38,29.3,12.8,18.4,45,29.29,18.42,4.16,38,12.79,0.9154,0.4353,0.5902,0.646951,30.903333,18.316667,ineff
0,LBS,S5_2,Exp.5,"H5, T4",no.training,constrained,efficient,pick.up,no.mitten,yes.causal,93,f,45,21.61,39.16,35.32,20.16,12.71,8.38,,,,,,7,182.34,105.77,41.25,1,6.7,5.5,4.3,5.6,10.7,12.5,5.5,5.58,12.54,6.72,4.3,10.66,0.4501,0.5648,0.5405,0.518459,7.873333,7.226667,ineff
0,LBS,S5_3,Exp.5,"H5, T4",no.training,constrained,efficient,pick.up,no.mitten,yes.causal,116,m,36.6,35.1,5.44,6.59,7.02,5.58,,,,,,,6,96.33,77.14,19.19,1,5,5.7,4.5,4.9,4.2,5.6,5.72,4.9,5.56,4.98,4.51,4.18,0.5346,0.5207,0.5708,0.542048,5.393333,4.556667,ineff
0,LBS,S5_4,Exp.5,"H5, T4",no.training,constrained,efficient,pick.up,no.mitten,yes.causal,98,m,19.91,18.84,24.27,18.48,17.13,8.89,9.04,,,,,,7,116.56,63.02,35.06,1,8.5,11.2,10.6,8.4,13.2,6.8,11.23,8.36,6.77,8.54,10.64,13.2,0.568,0.44,0.339,0.449014,8.786667,10.793333,eff
0,LBS,S5_5,Exp.5,"H5, T4",no.training,constrained,efficient,pick.up,no.mitten,yes.causal,117,f,17.59,10.87,9.28,6.3,6.33,6.38,5.51,5.11,,,,,8,67.37,37.74,17,1,4.7,13,4.2,10.9,3.8,4.8,13.04,10.85,4.82,4.72,4.21,3.78,0.7342,0.7205,0.5605,0.671717,9.57,4.236667,ineff
1,LBS,S5_6,Exp.5,"H5, T4",no.training,constrained,efficient,pick.up,no.mitten,yes.causal,104,m,16.73,6.98,3.9,4.38,7.85,4.33,6.68,6.66,3.96,4.56,3.16,,11,69.19,27.61,11.68,1,4.3,4.1,3,4.6,2.1,4.3,4.09,4.59,4.33,4.26,2.97,2.1,0.4898,0.6071,0.6734,0.590123,4.336667,3.11,ineff
1,LBS,S5_7,Exp.5,"H5, T4",no.training,constrained,efficient,pick.up,no.mitten,yes.causal,116,m,17.93,8.4,4,10.75,5.11,6.38,5.99,7.18,4.26,2.57,2.23,,11,74.8,30.33,9.06,1,8,4,4.8,2,2,1.8,3.97,2.01,1.79,7.99,4.78,1.97,0.3319,0.296,0.4761,0.368009,2.59,4.913333,eff
1,LBS,S5_8,Exp.5,"H5, T4",no.training,constrained,efficient,pick.up,no.mitten,yes.causal,118,f,7.2,12.07,6.26,5.62,5.92,11.69,5.41,4.5,5.66,4.94,2.51,2.97,12,74.75,25.53,10.42,0,4.7,10.8,3.9,34.8,26.3,10.4,10.8,34.77,10.44,4.74,3.87,26.32,0.695,0.8998,0.284,0.626277,18.67,11.643333,ineff
