row,experiment,subj_id,coder,orig_id,trial,newlook,look.orig,gap
296,Exp.3,S3_47,BP,45-JD,2,6.897,6.666,0.231
297,Exp.3,S3_47,BP,45-JD,3,11.022,19.143,-8.121
298,Exp.3,S3_47,BP,45-JD,4,21.648,22.143,-0.495
299,Exp.3,S3_47,BP,45-JD,5,8.415,8.25,0.165
300,Exp.3,S3_47,BP,45-JD,6,6.27,6.072,0.198
301,Exp.3,S3_48,BP,47-PW,1,16.731,15.411,1.32
302,Exp.3,S3_48,BP,47-PW,2,6.897,2.244,4.653
303,Exp.3,S3_48,BP,47-PW,3,18.744,3.432,15.312
304,Exp.3,S3_48,BP,47-PW,4,5.115,4.851,0.264
305,Exp.3,S3_48,BP,47-PW,5,3.927,3.63,0.297
306,Exp.3,S3_48,BP,47-PW,6,16.038,17.259,-1.221
307,Exp.3,S3_49,NG,48-HS,1,43.956,45,-1.044
308,Exp.3,S3_49,NG,48-HS,2,11.846,12.407,-0.561
309,Exp.3,S3_49,NG,48-HS,3,5.907,5.38,0.527
310,Exp.3,S3_49,NG,48-HS,4,3.861,3.861,0
311,Exp.3,S3_49,NG,48-HS,5,17.457,17.259,0.198
312,Exp.3,S3_49,NG,48-HS,6,2.541,2.739,-0.198
313,Exp.3,S3_50,NG,50-SC,1,18.48,18.381,0.099
314,Exp.3,S3_50,NG,50-SC,2,18.678,17.622,1.056
315,Exp.3,S3_50,NG,50-SC,3,15.477,13.922,1.555
316,Exp.3,S3_50,NG,50-SC,4,0,NA,NA
317,Exp.3,S3_50,NG,50-SC,5,6.204,6.039,0.165
318,Exp.3,S3_50,NG,50-SC,6,10.527,8.745,1.782
319,Exp.3,S3_51,NG,51-CK,1,7.557,7.524,0.033
320,Exp.3,S3_51,NG,51-CK,2,9.537,9.471,0.066
321,Exp.3,S3_51,NG,51-CK,3,6.27,6.468,-0.198
322,Exp.3,S3_51,NG,51-CK,4,16.302,13.992,2.31
323,Exp.3,S3_51,NG,51-CK,5,6.171,6.204,-0.033
324,Exp.3,S3_51,NG,51-CK,6,5.313,5.313,0
325,Exp.4,S4_10,BP,11-VB,1,31.515,35.8,-4.285
326,Exp.4,S4_10,BP,11-VB,2,26.466,45,-18.534
327,Exp.4,S4_10,BP,11-VB,3,4.884,18.1,-13.216
328,Exp.4,S4_10,BP,11-VB,4,4.983,15.2,-10.217
329,Exp.4,S4_10,BP,11-VB,5,5.511,7.3,-1.789
330,Exp.4,S4_10,BP,11-VB,6,2.739,31,-28.261
