orig.method,recoded.method,experiment,coder,trial,look.recoded,look.orig,gap,agree
datavyu,datavyu,Exp.5,DE,5,14.883,14.19,0.693,1
datavyu,datavyu,Exp.5,DE,2,10.296,4.521,5.775,0
datavyu,datavyu,Exp.5,BP,5,4.059,6.699,-2.64,1
datavyu,datavyu,Exp.5,BP,6,2.937,4.653,-1.716,1
datavyu,datavyu,Exp.5,BP,1,3.003,2.805,0.198,1
datavyu,datavyu,Exp.5,BP,2,2.64,2.409,0.231,1
datavyu,datavyu,Exp.5,BP,3,7.392,6.963,0.429,1
datavyu,datavyu,Exp.5,BP,4,5.478,4.125,1.353,1
datavyu,datavyu,Exp.5,DE,1,20.328,20.46,-0.132,1
datavyu,datavyu,Exp.5,DE,6,6.864,6.854,0.01,1
datavyu,datavyu,Exp.5,DE,2,5.808,5.643,0.165,1
datavyu,datavyu,Exp.5,DE,3,5.709,5.511,0.198,1
datavyu,datavyu,Exp.5,DE,5,11.847,11.649,0.198,1
datavyu,datavyu,Exp.5,DE,4,6.963,5.775,1.188,1
datavyu,datavyu,Exp.5,DE,3,24.915,25.377,-0.462,1
datavyu,datavyu,Exp.5,DE,4,8.085,8.514,-0.429,1
datavyu,datavyu,Exp.5,DE,2,9.273,9.636,-0.363,1
datavyu,datavyu,Exp.5,DE,5,45,45,0,1
datavyu,datavyu,Exp.5,DE,6,8.877,8.679,0.198,1
datavyu,datavyu,Exp.5,DE,1,6.171,5.94,0.231,1
datavyu,datavyu,Exp.5,DE,1,11.682,13.563,-1.881,1
datavyu,datavyu,Exp.5,DE,2,8.481,8.844,-0.363,1
datavyu,datavyu,Exp.5,DE,3,13.926,13.794,0.132,1
datavyu,datavyu,Exp.5,DE,6,3.168,3.003,0.165,1
datavyu,datavyu,Exp.5,DE,5,9.603,9.405,0.198,1
datavyu,datavyu,Exp.5,DE,4,5.445,5.214,0.231,1
datavyu,datavyu,Exp.5,BP,5,16.83,15.081,1.749,1
datavyu,datavyu,Exp.5,BP,2,9.372,4.554,4.818,1
datavyu,datavyu,Exp.5,BP,3,13.035,6.567,6.468,0
datavyu,datavyu,Exp.5,BP,4,12.375,1.485,10.89,0
datavyu,datavyu,Exp.5,BP,1,18.975,1.815,17.16,0
datavyu,datavyu,Exp.5,BP,6,37.884,4.191,33.693,0
datavyu,datavyu,Exp.5,NG,4,13.431,13.53,-0.099,1
datavyu,datavyu,Exp.5,NG,1,7.26,7.26,0,1
datavyu,datavyu,Exp.5,NG,3,45,45,0,1
datavyu,datavyu,Exp.5,NG,5,26.73,26.73,0,1
datavyu,datavyu,Exp.5,NG,6,8.943,8.943,0,1
datavyu,datavyu,Exp.5,NG,2,5.874,5.784,0.09,1
datavyu,datavyu,Exp.5,NG,4,26.994,28.774,-1.78,1
datavyu,datavyu,Exp.5,NG,5,12.243,12.969,-0.726,1
datavyu,datavyu,Exp.5,NG,6,30.03,30.459,-0.429,1
datavyu,datavyu,Exp.5,NG,1,19.701,19.899,-0.198,1
datavyu,datavyu,Exp.5,NG,2,24.453,24.123,0.33,1
datavyu,datavyu,Exp.5,NG,3,19.338,18.412,0.926,1
datavyu,datavyu,Exp.5,BP,4,18.513,19.899,-1.386,1
datavyu,datavyu,Exp.5,BP,2,5.082,4.917,0.165,1
datavyu,datavyu,Exp.5,BP,3,3.894,3.696,0.198,1
datavyu,datavyu,Exp.5,BP,1,3.498,3.234,0.264,1
datavyu,datavyu,Exp.5,BP,5,3.432,2.772,0.66,1
datavyu,datavyu,Exp.5,BP,6,6.798,5.544,1.254,1
datavyu,datavyu,Exp.5,NG,5,3.96,4.158,-0.198,1
datavyu,datavyu,Exp.5,NG,6,16.599,16.698,-0.099,1
datavyu,datavyu,Exp.5,NG,3,5.313,5.313,0,1
datavyu,datavyu,Exp.5,NG,2,3.201,3.069,0.132,1
datavyu,datavyu,Exp.5,NG,1,13.002,12.705,0.297,1
datavyu,datavyu,Exp.5,NG,4,10.131,6.93,3.201,1
datavyu,datavyu,Exp.5,DE,5,7.722,8.019,-0.297,1
datavyu,datavyu,Exp.5,DE,3,5.181,4.95,0.231,1
datavyu,datavyu,Exp.5,DE,6,7.029,6.798,0.231,1
datavyu,datavyu,Exp.5,DE,2,14.685,14.421,0.264,1
datavyu,datavyu,Exp.5,DE,4,8.745,6.666,2.079,1
datavyu,datavyu,Exp.5,DE,1,15.873,13.101,2.772,1
datavyu,datavyu,Exp.5,DE,1,45,45,0,1
datavyu,datavyu,Exp.5,DE,4,8.283,8.283,0,1
datavyu,datavyu,Exp.5,DE,5,45,45,0,1
datavyu,datavyu,Exp.5,DE,3,15.246,15.147,0.099,1
datavyu,datavyu,Exp.5,DE,6,31.647,31.416,0.231,1
datavyu,datavyu,Exp.5,DE,2,36.333,29.271,7.062,0
datavyu,datavyu,Exp.5,DE,2,10.557,11.517,-0.96,1
datavyu,datavyu,Exp.5,DE,1,35.937,36.696,-0.759,1
datavyu,datavyu,Exp.5,DE,6,9.966,10.263,-0.297,1
datavyu,datavyu,Exp.5,DE,4,4.488,4.587,-0.099,1
datavyu,datavyu,Exp.5,DE,3,6.567,6.435,0.132,1
datavyu,datavyu,Exp.5,DE,5,7.392,7.194,0.198,1
datavyu,datavyu,Exp.5,DE,2,14.685,15.708,-1.023,1
datavyu,datavyu,Exp.5,DE,5,16.236,16.467,-0.231,1
datavyu,datavyu,Exp.5,DE,6,12.375,12.21,0.165,1
datavyu,datavyu,Exp.5,DE,1,5.247,5.016,0.231,1
datavyu,datavyu,Exp.5,DE,4,6.402,5.61,0.792,1
datavyu,datavyu,Exp.5,DE,3,6.369,3.267,3.102,1
datavyu,datavyu,Exp.5,BP,1,9.867,9.801,0.066,1
datavyu,datavyu,Exp.5,BP,5,4.851,4.686,0.165,1
datavyu,datavyu,Exp.5,BP,6,3.597,3.432,0.165,1
datavyu,datavyu,Exp.5,BP,2,3.696,3.498,0.198,1
datavyu,datavyu,Exp.5,BP,3,3.102,2.871,0.231,1
datavyu,datavyu,Exp.5,BP,4,2.772,2.541,0.231,1
datavyu,datavyu,Exp.5,BP,3,11.022,19.143,-8.121,0
